,importance
Cases_lag1,0.89227907433662
Cases_lag2,0.01824173669207538
Tmin_lag10,0.010245936846183449
Humidity_lag1,0.008225325725015229
CI_lag10,0.005721177236875166
Humidity_lag12,0.00545471224840721
Tmin_lag11,0.005243265722619689
CI_lag8,0.004313776062203676
Precip_lag12,0.0023198117604585175
Tmax_lag4,0.0021377367916574543
Tmin_lag12,0.0020165459442441536
BI_lag10,0.0018782405496274627
Humidity_lag15,0.0018643376852755758
Tmean_lag10,0.001736385822017834
CI_lag2,0.0017176602617073133
HI_lag2,0.0016607780688989106
Tmin_lag15,0.0016305201912139699
CI_lag4,0.0015656883239542306
Humidity_lag10,0.0014366367695165985
Humidity_lag11,0.001381498864861065
Tmax_lag10,0.001338494155187232
BI_lag8,0.0012906741859777444
Humidity,0.0012740128151990373
Precip_lag1,0.0012037550217529037
BI_lag11,0.0010319991494214678
CI_lag12,0.0010024857967416236
CI_lag1,0.0010013334489488146
HI_lag8,0.0009854032750078437
Tmean_lag11,0.0009176579531920371
CI_lag11,0.000913513564730371
Tmax_lag12,0.0008615825368883157
Tmean_lag4,0.000848986792644433
Precip_lag8,0.0007695846024199605
Cases_lag15,0.0007252590435459097
Windspeed,0.0007129499190872886
Tmax_lag11,0.0006916564645415658
CI_lag15,0.0006828308791006818
Tmax_lag8,0.0005496733378852343
Precip_lag10,0.0005287220805644163
Precip_lag11,0.0005193053138577595
BI_lag12,0.0005102174323850687
BI_lag1,0.0004955534682259414
Cases_lag8,0.00047401104667557046
BI_lag2,0.0004663943528330544
BI_lag15,0.0004517077102011963
HI_lag10,0.0004512258199025931
Precip_lag15,0.00042634559677532535
BI_lag4,0.00038194413822714485
HI,0.00035976555099008375
Precip_lag4,0.00035569182295979503
BI,0.00034927933817450503
Humidity_lag4,0.00034440623388141533
Tmin,0.00033824953693718855
Tmean_lag8,0.00032394805091443945
Tmax_lag15,0.0003029674330207468
Humidity_lag8,0.00030215021288156985
Pressure,0.00029292157467687333
HI_lag15,0.00028743540309647536
Tmean_lag15,0.00027501057913498667
Tmean_lag2,0.00027459161095106906
Humidity_lag2,0.0002554856930888074
Tmin_lag2,0.00025405895477282974
HI_lag11,0.0002516119446749306
Cases_lag4,0.00023041997821118666
Tmax_lag2,0.00021434387849986986
Tmin_lag8,0.00020297922724275358
CI,0.0002015565790516789
HI_lag4,0.0002015052364591971
Tmax_lag1,0.0001988377890975685
HI_lag12,0.00019440428764630263
HI_lag1,0.00017492306523240995
Tmax,0.00017252346220336388
Tmin_lag1,0.00016843396095235784
Cases_lag11,0.000148175761988492
Tmean_lag12,0.00011513344213719694
Tmin_lag4,0.00011441021741030262
Cases_lag12,0.00010307793213265275
Cases_lag10,0.00010076433298925604
Tmean,9.371023851590409e-05
Precip,8.650735666090757e-05
Precip_lag2,6.776367645555564e-05
Tmean_lag1,6.48298316039013e-05
PopDensity_km2,0.0
