,importance
Cases_lag1,0.8290418618950167
Cases_lag2,0.08688414185282206
Tmin_lag12,0.007364148197692293
Tmean_lag12,0.005620991439075485
Precip_lag8,0.005148217101973664
Tmean,0.004815737543130821
Tmin,0.004004059692162461
Tmax,0.003720764026604977
Humidity_lag4,0.0036519779819021874
Cases_lag4,0.0031394974075729808
Tmax_lag12,0.0029020185069717113
Humidity_lag12,0.002699323966976239
HI_lag12,0.00242834762411575
Precip_lag12,0.0023202553742514703
Tmean_lag11,0.001988478165299203
BI_lag8,0.001957881483242775
CI_lag10,0.0017821281676494956
Humidity_lag15,0.0016818275450263872
Tmin_lag4,0.0015997319926905672
BI_lag11,0.0012314022900500605
Tmax_lag8,0.0011035825180050537
Tmean_lag15,0.001060805540736376
Windspeed,0.0010421457049685583
CI_lag1,0.001032340780134356
Tmin_lag11,0.0010305090209826993
Precip_lag4,0.001006004203549328
CI_lag12,0.000984296125091118
HI_lag15,0.0008470877953469819
BI_lag12,0.0008107644996669252
Tmean_lag10,0.0007616280347080748
BI_lag2,0.0007591978100355271
Precip_lag11,0.0007377398758896009
CI_lag11,0.0007315153444914369
Cases_lag12,0.0007293700759434981
Cases_lag15,0.0007177678303801577
Tmin_lag8,0.00066263127557803
Humidity_lag2,0.0006549870499050638
CI_lag2,0.0006332979461602834
Tmax_lag10,0.0005914989729358968
Humidity,0.0005612017446308331
HI_lag4,0.0005460285687478189
CI_lag4,0.0005374002753762698
Tmin_lag10,0.0005321762676976032
Tmax_lag11,0.0005139354645376237
HI_lag8,0.00051148710297232
Precip_lag1,0.0004651143804757536
Tmin_lag2,0.0004507756730682798
HI_lag2,0.0004336815251736383
Tmean_lag2,0.0004327922507790378
CI,0.000412883885266877
CI_lag15,0.00040009493606763533
Humidity_lag11,0.0003546336461357075
Cases_lag8,0.0003461051973902539
Precip_lag15,0.0003355441387839191
BI_lag1,0.0003337788841087132
Humidity_lag10,0.0003204198584966513
Humidity_lag1,0.0002948828934555699
BI_lag10,0.0002738772929556811
Precip_lag10,0.00021518620566604238
Tmin_lag1,0.00020593808873551513
HI_lag1,0.0001916798499705298
Tmean_lag4,0.00016373077316981607
Tmax_lag4,0.00014821445378711916
BI_lag4,0.00014684995196728606
Tmax_lag15,0.00011638102968238861
Pressure,0.00011535329629873654
HI_lag11,0.00010494361632157677
Tmax_lag2,9.39912282303093e-05
Precip_lag2,8.953095363851438e-05
HI_lag10,8.39717709038122e-05
Cases_lag11,7.52316012998508e-05
Tmax_lag1,5.504260544886104e-05
CI_lag8,5.385557282619577e-05
Cases_lag10,4.293630192189982e-05
Tmean_lag8,4.134737306868663e-05
Humidity_lag8,3.8276297840152515e-05
Tmean_lag1,2.8832505088138277e-05
BI,2.4090847518457224e-05
Tmin_lag15,1.0929730000417037e-05
Precip,8.426323363794168e-06
BI_lag15,7.843264597213137e-06
HI,6.397137982129805e-07
PopDensity_km2,0.0
