,importance
Cases_lag1,0.76961505
Tmin_lag10,0.041746523
Tmean_lag2,0.036089387
Humidity_lag1,0.032425776
HI_lag2,0.024342164
CI_lag8,0.021257099
Humidity_lag12,0.021200908
Cases_lag15,0.009145967
Tmean_lag12,0.0072976644
Cases_lag8,0.0071795303
Tmean_lag10,0.0040963455
CI_lag4,0.0031505474
Tmin_lag2,0.0029872279
BI_lag12,0.002971073
Tmax_lag8,0.0026574903
BI_lag2,0.0020809527
Tmean,0.0015067339
Pressure,0.0014213158
HI,0.0013068545
Tmin_lag12,0.0012991091
HI_lag10,0.0008343275
CI,0.00075137196
BI_lag10,0.000650836
Cases_lag10,0.0006483079
Cases_lag11,0.0005705367
CI_lag2,0.00047813222
Cases_lag2,0.0003550792
BI,0.00029582987
Humidity_lag10,0.00026763006
Humidity,0.00017807295
Tmin_lag4,0.0001287077
Windspeed,0.00012487937
Precip_lag10,9.4534626e-05
Tmin_lag8,8.490038e-05
Tmean_lag8,8.438459e-05
HI_lag4,6.0036797e-05
HI_lag8,5.6870293e-05
Tmean_lag11,4.8512342e-05
Precip_lag4,4.2725635e-05
Humidity_lag11,3.7792608e-05
BI_lag15,3.6401663e-05
Precip,3.062481e-05
CI_lag1,2.809085e-05
Cases_lag4,2.7541964e-05
HI_lag15,2.3388646e-05
Precip_lag12,1.961579e-05
HI_lag1,1.897913e-05
Humidity_lag2,1.8204046e-05
CI_lag11,1.6623466e-05
Tmean_lag15,1.3671625e-05
BI_lag1,1.3479213e-05
Humidity_lag4,1.3197105e-05
Tmin_lag1,1.1841647e-05
CI_lag15,1.1687414e-05
Tmin,1.1157437e-05
Tmin_lag11,1.0988245e-05
Precip_lag15,9.961955e-06
Precip_lag11,9.838255e-06
Tmax_lag12,9.308056e-06
Tmean_lag4,8.380922e-06
Humidity_lag15,8.011402e-06
Precip_lag8,7.145932e-06
Humidity_lag8,6.9983716e-06
Tmax,6.4485625e-06
Tmax_lag10,6.2539007e-06
CI_lag12,5.5955084e-06
Tmin_lag15,5.1082407e-06
BI_lag11,4.467515e-06
CI_lag10,4.1686876e-06
Tmax_lag11,4.134279e-06
BI_lag8,3.909109e-06
Tmax_lag4,3.7972386e-06
Tmax_lag15,3.706556e-06
HI_lag12,3.4202694e-06
Tmean_lag1,2.7346662e-06
Tmax_lag1,2.3058926e-06
Cases_lag12,2.2346321e-06
Precip_lag1,2.231576e-06
BI_lag4,1.0560453e-06
Tmax_lag2,9.51065e-07
Precip_lag2,7.918295e-07
HI_lag11,2.71442e-07
PopDensity_km2,0.0
