,importance
Cases_lag1,0.27709225
Cases_lag2,0.046163023
Cases_lag12,0.04457448
Tmean_lag8,0.030979453
Tmean_lag11,0.030938104
Tmax_lag4,0.03083879
Tmin_lag12,0.030247074
Tmin_lag11,0.02391612
Precip_lag8,0.022243889
Precip_lag11,0.0219648
Tmax_lag12,0.021924235
Tmean_lag4,0.02097506
Cases_lag10,0.019334845
Cases_lag4,0.017790582
Precip_lag10,0.01515609
CI_lag15,0.014315068
BI_lag10,0.012597205
Tmean_lag12,0.012383423
BI_lag15,0.012218207
Cases_lag15,0.012215032
BI_lag12,0.011650336
Precip_lag15,0.011623511
Tmin_lag15,0.011541851
Precip_lag4,0.011515633
Humidity_lag10,0.011271032
Cases_lag11,0.0112166
Precip_lag12,0.010902064
HI_lag10,0.010676042
Precip_lag1,0.008934918
Tmin_lag10,0.008458959
Tmin,0.007888819
Tmean_lag1,0.0074448376
Tmax_lag11,0.007314772
Tmin_lag8,0.007290337
HI_lag1,0.006020443
HI,0.005813199
Tmax_lag8,0.0057631917
BI_lag8,0.0056167627
CI,0.0051728203
Tmean_lag10,0.005117796
Tmax_lag2,0.005065825
Tmean,0.0048842747
HI_lag11,0.004710162
Pressure,0.0045422358
BI_lag1,0.004233774
Tmin_lag4,0.004120937
CI_lag1,0.00402133
CI_lag11,0.0038419508
CI_lag10,0.0037573108
HI_lag4,0.0035607354
CI_lag8,0.0035180217
Tmin_lag2,0.0034803667
Precip,0.0034178316
Humidity,0.0033887238
BI,0.0033769943
Precip_lag2,0.003371989
Tmax_lag1,0.00322986
Tmean_lag2,0.0030799978
CI_lag4,0.003019755
Humidity_lag4,0.0028795234
CI_lag12,0.0028103937
BI_lag2,0.0027677543
BI_lag4,0.002552399
Cases_lag8,0.0024387983
Humidity_lag8,0.0023046099
HI_lag8,0.002045793
Tmin_lag1,0.002030369
Tmean_lag15,0.0018828766
Tmax,0.0018541212
HI_lag2,0.0014964177
Windspeed,0.0013493872
Humidity_lag1,0.0013273195
Humidity_lag15,0.001317362
BI_lag11,0.0012519651
CI_lag2,0.0012396299
Tmax_lag15,0.0012006371
Tmax_lag10,0.0011806146
HI_lag15,0.0010628615
Humidity_lag2,0.00096667086
HI_lag12,0.00081555964
Humidity_lag11,0.0007931518
Humidity_lag12,0.00070799666
PopDensity_km2,0.0
