,importance
Cases_lag1,0.5797271
Cases_lag2,0.108461134
Cases_lag4,0.085925214
Tmax,0.055264086
Tmean,0.04217703
Tmean_lag12,0.024217814
Windspeed,0.01735923
Tmin,0.015840404
Pressure,0.011433801
Cases_lag8,0.010961303
Tmean_lag8,0.00605364
BI,0.005984769
Precip,0.005412003
Humidity,0.0038542852
Tmean_lag10,0.003753785
Tmin_lag8,0.0035014965
Tmean_lag4,0.0019420756
Tmin_lag15,0.0019034061
CI,0.0017317716
Tmax_lag8,0.0015421584
CI_lag8,0.0012129296
Tmax_lag12,0.0011408348
Tmean_lag11,0.0010258072
Cases_lag10,0.00081273715
Tmin_lag11,0.0007183587
CI_lag12,0.000670104
Tmin_lag4,0.00063038804
CI_lag10,0.0004628578
BI_lag1,0.0004592884
Tmin_lag1,0.00043426888
HI_lag2,0.0004286685
HI_lag1,0.0003791924
BI_lag2,0.00029801173
Humidity_lag10,0.00028538803
HI_lag8,0.00028181693
Tmax_lag4,0.00027094272
HI,0.00025708697
Tmean_lag1,0.0002568967
Tmin_lag12,0.00025670193
CI_lag1,0.00025278868
CI_lag4,0.00024161016
Precip_lag2,0.00021689711
Tmax_lag10,0.00021038947
HI_lag12,0.00014579782
Humidity_lag2,0.000118619064
HI_lag10,0.000115821036
HI_lag4,9.811505e-05
BI_lag4,9.595757e-05
BI_lag10,8.883567e-05
BI_lag11,8.555474e-05
Precip_lag8,7.4442105e-05
Precip_lag1,5.98233e-05
BI_lag8,5.9270853e-05
Tmax_lag11,4.8659094e-05
Cases_lag11,4.560561e-05
Humidity_lag15,4.4136592e-05
Tmin_lag2,4.3277738e-05
Precip_lag4,3.9197777e-05
Tmin_lag10,3.8076112e-05
Humidity_lag12,3.5818422e-05
CI_lag11,3.433768e-05
Precip_lag11,3.4158635e-05
Precip_lag12,3.2379565e-05
Tmax_lag15,3.0607414e-05
Precip_lag15,3.0497251e-05
Cases_lag15,2.9545086e-05
Humidity_lag1,2.6841863e-05
CI_lag2,2.6648228e-05
Tmax_lag2,2.6476844e-05
Humidity_lag4,2.4629424e-05
CI_lag15,2.4240115e-05
Precip_lag10,2.3549186e-05
BI_lag12,2.3022561e-05
Tmax_lag1,2.299414e-05
Tmean_lag15,2.2919208e-05
Tmean_lag2,2.1861231e-05
BI_lag15,2.0515476e-05
HI_lag11,1.8917517e-05
Humidity_lag11,1.0770888e-05
Humidity_lag8,1.0013582e-05
HI_lag15,9.681783e-06
Cases_lag12,7.883331e-06
PopDensity_km2,0.0
